ts,lat,lon,heading_deg,speed_mps
0.0,30.0,120.0,0.0,5.0
1.0,30.000179663056823,120.0,0.0,5.0
2.0,30.00035932611365,120.0,0.0,5.0
3.0,30.000538989170472,120.0,0.0,5.0
4.0,30.000718652227295,120.0,0.0,5.0
5.0,30.000898315284118,120.0,0.0,5.0
6.0,30.001077978340945,120.0,0.0,5.0
7.0,30.001257641397768,120.0,0.0,5.0
8.0,30.00143730445459,120.0,0.0,5.0
9.0,30.001616967511413,120.0,0.0,5.0
10.0,30.00179663056824,120.0,0.0,5.0
11.0,30.001976293625063,120.0,0.0,5.0
12.0,30.002155956681886,120.0,0.0,5.0
13.0,30.002335619738712,120.0,0.0,5.0
14.0,30.002515282795535,120.0,0.0,5.0
15.0,30.002694945852358,120.0,0.0,5.0
16.0,30.00287460890918,120.0,0.0,5.0
17.0,30.003054271966008,120.0,0.0,5.0
18.0,30.00323393502283,120.0,0.0,5.0
19.0,30.003413598079653,120.0,0.0,5.0
20.0,30.003593261136476,120.0,0.0,5.0
